Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
ON UW Equity,ON Semiconductor Corp,0.033459,426.135,69.65,ON,ON,Technology,Semiconductors,ON Semiconductor Corporation,United States,USD
AXON UW Equity,Axon Enterprise Inc,0.031718,71.184,395.26,AXON,AXON,Industrials,Aerospace & Defense,"Axon Enterprise, Inc.",United States,USD
BRO UN Equity,Brown & Brown Inc,0.027412,235.284,103.35,BRO,BRO,Financial Services,Insurance Brokers,"Brown & Brown, Inc.",United States,USD
ALL AT Equity,Aristocrat Leisure Ltd,0.02491,573.25,56.49,ALL,ALL,Financial Services,Insurance—Property & Casualty,Allstate Corporation (The),United States,USD
MRNA UW Equity,Moderna Inc,0.024505,341.573,63.64,MRNA,MRNA,Healthcare,Biotechnology,"Moderna, Inc.",United States,USD
STC AB Equity,Saudi Telecom Co,0.023785,1799.2,44,STC,STC,Financial Services,Insurance—Property & Casualty,Stewart Information Services Co,United States,USD
CINF UW Equity,Cincinnati Financial Corp,0.023312,152.932,135.22,CINF,CINF,Financial Services,Insurance—Property & Casualty,Cincinnati Financial Corporatio,United States,USD
MKL UN Equity,Markel Group Inc,0.021902,12.471,1557.89,MKL,MKL,Financial Services,Insurance—Property & Casualty,Markel Group Inc.,United States,USD
L CT Equity,Loblaw Cos Ltd,0.021458,144.407,177.74,L,L,Financial Services,Insurance—Property & Casualty,Loews Corporation,United States,USD
KER FP Equity,Kering SA,0.019985,69.562,228.95,KER,KROS,Healthcare,Biotechnology,"Keros Therapeutics, Inc.",United States,USD
WRB UN Equity,W R Berkley Corp,0.018235,286.857,56.39,WRB,WRB,Financial Services,Insurance—Property & Casualty,W.R. Berkley Corporation,United States,USD
TXT UN Equity,Textron Inc,0.017943,186.184,85.49,TXT,TXT,Industrials,Aerospace & Defense,Textron Inc.,United States,USD
UTHR UW Equity,United Therapeutics Corp,0.017716,43.714,359.51,UTHR,UTHR,Healthcare,Biotechnology,United Therapeutics Corporation,United States,USD
FNF UN Equity,Fidelity National Financial Inc,0.017681,259.156,60.52,FNF,FNF,Financial Services,Insurance—Specialty,FNF Group of Fidelity National ,United States,USD
SWKS UW Equity,Skyworks Solutions Inc,0.017435,159.149,97.18,SWKS,SWKS,Technology,Semiconductors,"Skyworks Solutions, Inc.",United States,USD
HEI GY Equity,Heidelberg Materials AG,0.016457,133.417,98.3,HEI,HEI,Industrials,Aerospace & Defense,Heico Corporation,United States,USD
RGA UN Equity,Reinsurance Group of America Inc,0.015972,64.796,218.66,RGA,RGA,Financial Services,Insurance—Reinsurance,"Reinsurance Group of America, I",United States,USD
L UN Equity,Loews Corp,0.015945,181.2,78.06,L,L,Financial Services,Insurance—Property & Casualty,Loews Corporation,United States,USD
ERIE UW Equity,Erie Indemnity Co,0.015284,25.157,538.95,ERIE,ERIE,Financial Services,Insurance Brokers,Erie Indemnity Company,United States,USD
BMRN UW Equity,BioMarin Pharmaceutical Inc,0.01463,188.033,69.02,BMRN,BMRN,Healthcare,Biotechnology,BioMarin Pharmaceutical Inc.,United States,USD
CW UN Equity,Curtiss-Wright Corp,0.01394,38.056,324.94,CW,CW,Industrials,Aerospace & Defense,Curtiss-Wright Corporation,United States,USD
INSM UW Equity,Insmed Inc,0.013185,160.799,72.735,INSM,INSM,Healthcare,Biotechnology,Insmed Incorporated,United States,USD
TECH UW Equity,Bio-Techne Corp,0.013176,155.949,74.95,TECH,TECH,Healthcare,Biotechnology,Bio-Techne Corp,United States,USD
PCVX UW Equity,Vaxcyte Inc,0.0128,100.078,113.46,PCVX,PCVX,Healthcare,Biotechnology,"Vaxcyte, Inc.",United States,USD
SRPT UW Equity,Sarepta Therapeutics Inc,0.012659,90.112,124.62,SRPT,SRPT,Healthcare,Biotechnology,"Sarepta Therapeutics, Inc.",United States,USD
HEI UN Equity,HEICO Corp,0.012529,42.303,262.73,HEI,HEI,Industrials,Aerospace & Defense,Heico Corporation,United States,USD
RPRX UW Equity,Royalty Pharma PLC,0.012092,387.945,27.65,RPRX,RPRX,Healthcare,Biotechnology,Royalty Pharma plc,United States,USD
SVT LN Equity,Severn Trent PLC,0.011886,299.147,2646,SVT,SVT,Industrials,Aerospace & Defense,"Servotronics, Inc.",United States,USD
WWD UW Equity,Woodward Inc,0.011515,60.339,169.29,WWD,WWD,Industrials,Aerospace & Defense,"Woodward, Inc.",United States,USD
AIZ UN Equity,Assurant Inc,0.011428,51.579,196.54,AIZ,AIZ,Financial Services,Insurance—Property & Casualty,"Assurant, Inc.",United States,USD
INCY UW Equity,Incyte Corp,0.011362,159.425,63.22,INCY,INCY,Healthcare,Biotechnology,Incyte Corporation,United States,USD
ACS SQ Equity,ACS Actividades de Construccion y Servicios SA,0.011294,214.595,41.94,ACS,ACST,Healthcare,Biotechnology,"Acasti Pharma, Inc.",United States,USD
AFG UN Equity,American Financial Group Inc/OH,0.011219,73.563,135.28,AFG,AFG,Financial Services,Insurance—Property & Casualty,"American Financial Group, Inc.",United States,USD
HII UN Equity,Huntington Ingalls Industries Inc,0.011206,38.675,257.02,HII,HII,Industrials,Aerospace & Defense,"Huntington Ingalls Industries, ",United States,USD
KNSL UN Equity,Kinsale Capital Group Inc,0.011158,22.046,448.97,KNSL,KNSL,Financial Services,Insurance—Property & Casualty,"Kinsale Capital Group, Inc.",United States,USD
BWXT UN Equity,BWX Technologies Inc,0.01091,91.049,106.29,BWXT,BWXT,Industrials,Aerospace & Defense,"BWX Technologies, Inc.",United States,USD
QRVO UW Equity,Qorvo Inc,0.010867,94.059,102.49,QRVO,QRVO,Technology,Semiconductors,"Qorvo, Inc.",United States,USD
ORI UN Equity,Old Republic International Corp,0.010006,251.435,35.3,ORI,ORI,Financial Services,Insurance—Property & Casualty,Old Republic International Corp,United States,USD
BOL SS Equity,Boliden AB,0.009547,264.437,326.2,BOL,BOLT,Healthcare,Biotechnology,"Bolt Biotherapeutics, Inc.",United States,USD
ADVANC TB Equity,Advanced Info Service PCL,0.009319,1022.354,265,ADVANC,AMD,Technology,Semiconductors,"Advanced Micro Devices, Inc.",United States,USD
CNA LN Equity,Centrica PLC,0.009222,5224.134,117.55,CNA,CNA,Financial Services,Insurance—Property & Casualty,CNA Financial Corporation,United States,USD
EXEL UW Equity,Exelixis Inc,0.008331,283.597,26.06,EXEL,EXEL,Healthcare,Biotechnology,"Exelixis, Inc.",United States,USD
LSCC UW Equity,Lattice Semiconductor Corp,0.007934,136.152,51.69,LSCC,LSCC,Technology,Semiconductors,Lattice Semiconductor Corporati,United States,USD
HALO UW Equity,Halozyme Therapeutics Inc,0.007929,125.886,55.87,HALO,HALO,Healthcare,Biotechnology,"Halozyme Therapeutics, Inc.",United States,USD
RVMD UW Equity,REVOLUTION Medicines Inc,0.007702,152.294,44.86,RVMD,RVMD,Healthcare,Biotechnology,"Revolution Medicines, Inc.",United States,USD
RLI UN Equity,RLI Corp,0.007618,44.22,152.81,RLI,RLI,Financial Services,Insurance—Property & Casualty,RLI Corp.,United States,USD
LUN CT Equity,Lundin Mining Corp,0.007566,651.57,13.89,LUN,LUNR,Industrials,Aerospace & Defense,"Intuitive Machines, Inc.",United States,USD
VKTX UR Equity,Viking Therapeutics Inc,0.007407,104.077,63.13,VKTX,VKTX,Healthcare,Biotechnology,"Viking Therapeutics, Inc.",United States,USD
RYAN UN Equity,Ryan Specialty Holdings Inc,0.007287,96.539,66.96,RYAN,RYAN,Financial Services,Insurance—Specialty,"Ryan Specialty Holdings, Inc.",United States,USD
MTG UN Equity,MGIC Investment Corp,0.007243,255.659,25.13,MTG,MTG,Financial Services,Insurance—Specialty,MGIC Investment Corporation,United States,USD
CRUS UW Equity,Cirrus Logic Inc,0.007177,53.147,119.79,CRUS,CRUS,Technology,Semiconductors,"Cirrus Logic, Inc.",United States,USD
FAF UN Equity,First American Financial Corp,0.007147,98.542,64.34,FAF,FAF,Financial Services,Insurance—Specialty,First American Corporation (New,United States,USD
MTSI UW Equity,MACOM Technology Solutions Holdings Inc,0.006921,57.84,106.14,MTSI,MTSI,Technology,Semiconductors,MACOM Technology Solutions Hold,United States,USD
CYTK UW Equity,Cytokinetics Inc,0.006741,113.503,52.68,CYTK,CYTK,Healthcare,Biotechnology,"Cytokinetics, Incorporated",United States,USD
ORI AT Equity,Orica Ltd,0.006738,486.061,18.02,ORI,ORI,Financial Services,Insurance—Property & Casualty,Old Republic International Corp,United States,USD
LPC IS Equity,Lupin Ltd,0.00651,217.276,2221.1001,LPC,LPCN,Healthcare,Biotechnology,Lipocine Inc.,United States,USD
